"","age","gender","par_edu","hisei","mig_bac","paa_gpa","big_ext","big_agr","big_con","big_neu","big_ope","fem_inm","fem_exm"
"1",30.4200000762939,"0","1",NA,"0",2.6,3.5,3.66666666666667,3.5,2.5,2.5,3.33333333333333,2.25
"2",27,"0","1",72.9400024414062,"0",2.5,4,3.66666666666667,4.5,3,4,NA,NA
"3",24.25,"0","1",NA,"0",1.7,4,3.33333333333333,3,3.5,4.5,3.33333333333333,2.75
"4",26,"1","1",54.2700004577637,"0",1.5,3,3.33333333333333,5,3,2.5,NA,NA
"5",31.9200000762939,"0","1",NA,"0",2.1,3,3.66666666666667,5,4.5,5,NA,NA
"6",27.8299999237061,"0","1",70.5699996948242,"0",2.1,3,4.33333333333333,2.5,1.5,5,3.44444444444444,2.5
"7",29.0799999237061,"1","3",72.9400024414062,"0",2.9,2,4.33333333333333,4,3,3,NA,NA
"8",34.1699981689453,"1","2",77.0999984741211,"1",2.3,3.5,3,2.5,1.5,2.5,3.33333333333333,2.58333333333333
"9",31.6700000762939,"0",NA,NA,NA,3.2,4,3.33333333333333,3.5,1.5,5,3.33333333333333,2.16666666666667
"10",22.0799999237061,"0","1",NA,"0",1.9,NA,NA,NA,NA,NA,NA,NA
"11",27.6700000762939,"0","3",82.4100036621094,"0",2.3,4.5,4,5,2.5,3.5,3.11111111111111,2.33333333333333
"12",24.75,"0","2",NA,"0",3.2,4,3.66666666666667,4,3,2.5,NA,NA
"13",32.25,"0","1",41.2700004577637,"0",2.5,5,3.66666666666667,4,3.5,3.5,3.33333333333333,2.08333333333333
"14",33.5800018310547,"0","1",40.5400009155273,"0",2.5,4,3.33333333333333,4.5,2.5,4,NA,NA
"15",32,"1","2",NA,"0",1.7,4,4,4.5,3.5,4.5,3.66666666666667,2.16666666666667
"16",30.9200000762939,"0","3",82.4100036621094,"0",3,3,4,1.5,3,2,NA,NA
"17",31,"0","2",56.5699996948242,"1",2.9,4,4,4,3,4.5,NA,NA
"18",31.0799999237061,"1","1",54.5499992370605,"0",2,4,2.66666666666667,4.5,2,4.5,NA,NA
"19",33.0800018310547,"1","3",82.4100036621094,"0",1.9,3.5,3.66666666666667,4,2,3,2.77777777777778,2.25
"20",26,"0","3",81.9199981689453,"0",2.5,1.5,4.33333333333333,2.5,3,2.5,NA,NA
"21",35.8300018310547,"1","1",33.1599998474121,"0",2.1,2.5,2.66666666666667,3.5,2.5,4.5,3,1.83333333333333
"22",30.4200000762939,"1","1",63.0299987792969,"0",3,4,4,4,1.5,2.5,NA,NA
"23",30.8299999237061,"0","2",28.4799995422363,"0",2.2,2.5,4.33333333333333,3.5,4,5,3.22222222222222,2.5
"24",23.0799999237061,"0","1",22.5699996948242,"0",2.4,NA,NA,NA,NA,NA,NA,NA
"25",34.25,"0","1",17.7900009155273,"0",2.6,4,4.33333333333333,3,2.5,4,NA,NA
"26",31.5,"0","1",NA,"0",1.1,3.5,3,5,3,3,2.77777777777778,1.63636363636364
"27",39.0800018310547,"0","1",30.5900001525879,"0",2.2,4.5,4,3.5,2.5,5,NA,NA
"28",26.25,"0","1",40.5400009155273,"0",1.8,3,3.66666666666667,4,3,4,NA,NA
"29",32.1699981689453,"0","3",70.3399963378906,"0",2.8,4.5,3.33333333333333,4,3,4,3.33333333333333,2.25
"30",27.3299999237061,"0","1",43.8499984741211,"0",2.8,4.5,4,5,2,4,NA,NA
"31",25.4200000762939,"0","1",65.4199981689453,"0",2.6,NA,NA,NA,NA,NA,NA,NA
"32",21.8299999237061,"0","2",NA,"0",1.6,NA,NA,NA,NA,NA,NA,NA
"33",22.0799999237061,"1","1",NA,"0",2.9,NA,NA,NA,NA,NA,NA,NA
"34",31.25,"0","1",57.3800010681152,"0",3.1,5,4.33333333333333,3.5,2.5,2.5,2.77777777777778,2.08333333333333
"35",23.9200000762939,"0","2",81.4000015258789,"0",2.6,NA,NA,NA,NA,NA,NA,NA
"36",47.6699981689453,"0","1",NA,"0",NA,4.5,3,5,2.5,4,3.66666666666667,1.58333333333333
"37",32.5,"0","2",NA,"0",2.7,4,3.33333333333333,3.5,2.5,3.5,3.88888888888889,2.33333333333333
"38",30.3299999237061,"0","2",NA,"0",1.9,3,3.66666666666667,4.5,3,5,3.11111111111111,1.91666666666667
"39",23.6700000762939,"0","1",33.9000015258789,"0",2.3,3,3.66666666666667,4,3.5,5,NA,NA
"40",20.75,"0","3",70.8899993896484,"0",2.6,NA,NA,NA,NA,NA,NA,NA
"41",24.4200000762939,"0","2",NA,"0",2.4,NA,NA,NA,NA,NA,NA,NA
"42",24.8299999237061,"0","2",NA,"0",2.2,3.5,3.66666666666667,5,4,2,3.11111111111111,1.33333333333333
"43",27,"0","3",NA,"1",1.8,3,2.66666666666667,3.5,3,4,NA,NA
"44",32.0800018310547,"0","1",22.5699996948242,"0",3.1,4.5,4.33333333333333,2.5,2.5,3,NA,NA
"45",29.5,"0","1",NA,"0",1.6,2.5,4,3,3,3,3.625,1.91666666666667
"46",21.5799999237061,"0","1",NA,"1",3.3,3.5,4,3,4.5,4.5,NA,NA
